time,open,high,low,close,volume
2024-02-01T00:00:00Z,1.08528,1.08558,1.08498,1.08528,1679.00
2024-02-01T01:00:00Z,1.08528,1.08647,1.08499,1.08618,1389.73
2024-02-01T02:00:00Z,1.08618,1.08722,1.08561,1.08665,1425.34
2024-02-01T03:00:00Z,1.08665,1.08729,1.08593,1.08657,1648.45
2024-02-01T04:00:00Z,1.08657,1.08718,1.08558,1.08619,1587.12
2024-02-01T05:00:00Z,1.08619,1.08655,1.08556,1.08592,1564.86
2024-02-01T06:00:00Z,1.08592,1.08686,1.08505,1.08599,1799.34
2024-02-01T07:00:00Z,1.08599,1.08639,1.08549,1.08589,1674.59
2024-02-01T08:00:00Z,1.08589,1.08677,1.08488,1.08576,889.64
2024-02-01T09:00:00Z,1.08576,1.08693,1.08520,1.08637,1336.13
2024-02-01T10:00:00Z,1.08637,1.08669,1.08593,1.08625,1483.93
2024-02-01T11:00:00Z,1.08625,1.08666,1.08556,1.08597,1275.22
2024-02-01T12:00:00Z,1.08597,1.08629,1.08492,1.08524,1637.95
2024-02-01T13:00:00Z,1.08524,1.08570,1.08475,1.08521,2101.14
2024-02-01T14:00:00Z,1.08521,1.08571,1.08479,1.08529,1918.95
2024-02-01T15:00:00Z,1.08529,1.08574,1.08483,1.08528,1241.17
2024-02-01T16:00:00Z,1.08528,1.08562,1.08442,1.08476,1462.75
2024-02-01T17:00:00Z,1.08476,1.08536,1.08431,1.08491,1586.95
2024-02-01T18:00:00Z,1.08491,1.08529,1.08396,1.08434,1165.08
2024-02-01T19:00:00Z,1.08434,1.08556,1.08393,1.08515,1927.32
2024-02-01T20:00:00Z,1.08515,1.08587,1.08463,1.08535,1585.67
2024-02-01T21:00:00Z,1.08535,1.08588,1.08498,1.08551,978.59
2024-02-01T22:00:00Z,1.08551,1.08607,1.08529,1.08585,1957.19
2024-02-01T23:00:00Z,1.08585,1.08734,1.08484,1.08633,1387.44
2024-02-02T00:00:00Z,1.08633,1.08666,1.08609,1.08642,1213.96
2024-02-02T01:00:00Z,1.08642,1.08716,1.08602,1.08676,1478.20
2024-02-02T02:00:00Z,1.08676,1.08755,1.08579,1.08658,1789.75
2024-02-02T03:00:00Z,1.08658,1.08705,1.08595,1.08642,1831.04
2024-02-02T04:00:00Z,1.08642,1.08720,1.08555,1.08633,1626.79
2024-02-02T05:00:00Z,1.08633,1.08658,1.08596,1.08621,1045.29
2024-02-02T06:00:00Z,1.08621,1.08705,1.08576,1.08660,1285.88
2024-02-02T07:00:00Z,1.08660,1.08733,1.08622,1.08695,1057.32
2024-02-02T08:00:00Z,1.08695,1.08754,1.08591,1.08650,1314.11
2024-02-02T09:00:00Z,1.08650,1.08722,1.08563,1.08635,788.87
2024-02-02T10:00:00Z,1.08635,1.08715,1.08557,1.08637,1583.77
2024-02-02T11:00:00Z,1.08637,1.08768,1.08559,1.08690,1702.47
2024-02-02T12:00:00Z,1.08690,1.08786,1.08551,1.08647,618.62
2024-02-02T13:00:00Z,1.08647,1.08681,1.08554,1.08588,1242.31
2024-02-02T14:00:00Z,1.08588,1.08674,1.08523,1.08609,1842.08
2024-02-02T15:00:00Z,1.08609,1.08673,1.08525,1.08589,1555.04
2024-02-02T16:00:00Z,1.08589,1.08619,1.08546,1.08576,1652.03
2024-02-02T17:00:00Z,1.08576,1.08660,1.08474,1.08558,1716.66
2024-02-02T18:00:00Z,1.08558,1.08599,1.08517,1.08558,1691.71
2024-02-02T19:00:00Z,1.08558,1.08689,1.08475,1.08606,1948.61
2024-02-02T20:00:00Z,1.08606,1.08708,1.08548,1.08650,1685.37
2024-02-02T21:00:00Z,1.08650,1.08749,1.08541,1.08640,1278.21
2024-02-04T22:00:00Z,1.08640,1.08701,1.08586,1.08647,866.08
2024-02-04T23:00:00Z,1.08647,1.08715,1.08620,1.08688,1856.83
2024-02-05T00:00:00Z,1.08688,1.08772,1.08616,1.08700,2063.54
2024-02-05T01:00:00Z,1.08700,1.08780,1.08658,1.08738,1447.45
2024-02-05T02:00:00Z,1.08738,1.08771,1.08667,1.08700,1727.44
2024-02-05T03:00:00Z,1.08700,1.08765,1.08675,1.08740,1900.98
2024-02-05T04:00:00Z,1.08740,1.08839,1.08694,1.08793,1354.84
2024-02-05T05:00:00Z,1.08793,1.08855,1.08724,1.08786,1509.38
2024-02-05T06:00:00Z,1.08786,1.08859,1.08731,1.08804,1831.26
2024-02-05T07:00:00Z,1.08804,1.08897,1.08725,1.08818,1344.31
2024-02-05T08:00:00Z,1.08818,1.08918,1.08743,1.08843,1452.84
2024-02-05T09:00:00Z,1.08843,1.08878,1.08817,1.08852,1395.70
2024-02-05T10:00:00Z,1.08852,1.08928,1.08773,1.08849,1140.57
2024-02-05T11:00:00Z,1.08849,1.08949,1.08779,1.08879,1056.09
2024-02-05T12:00:00Z,1.08879,1.08930,1.08819,1.08870,1721.03
2024-02-05T13:00:00Z,1.08870,1.08935,1.08707,1.08772,1800.65
2024-02-05T14:00:00Z,1.08772,1.08806,1.08700,1.08734,1549.82
2024-02-05T15:00:00Z,1.08734,1.08760,1.08611,1.08637,1701.35
2024-02-05T16:00:00Z,1.08637,1.08707,1.08610,1.08680,1597.10
2024-02-05T17:00:00Z,1.08680,1.08744,1.08637,1.08701,1500.29
2024-02-05T18:00:00Z,1.08701,1.08781,1.08650,1.08730,1698.06
2024-02-05T19:00:00Z,1.08730,1.08843,1.08630,1.08743,1613.73
2024-02-05T20:00:00Z,1.08743,1.08780,1.08684,1.08721,1369.61
2024-02-05T21:00:00Z,1.08721,1.08742,1.08653,1.08674,1823.32
2024-02-05T22:00:00Z,1.08674,1.08779,1.08641,1.08746,1635.04
2024-02-05T23:00:00Z,1.08746,1.08842,1.08653,1.08749,602.36
2024-02-06T00:00:00Z,1.08749,1.08814,1.08660,1.08725,1585.36
2024-02-06T01:00:00Z,1.08725,1.08807,1.08689,1.08771,1583.50
2024-02-06T02:00:00Z,1.08771,1.08824,1.08734,1.08787,1729.30
2024-02-06T03:00:00Z,1.08787,1.08818,1.08714,1.08745,1317.28
2024-02-06T04:00:00Z,1.08745,1.08862,1.08622,1.08739,1624.30
2024-02-06T05:00:00Z,1.08739,1.08781,1.08681,1.08723,1465.19
2024-02-06T06:00:00Z,1.08723,1.08767,1.08694,1.08738,1478.04
2024-02-06T07:00:00Z,1.08738,1.08867,1.08574,1.08703,1329.59
2024-02-06T08:00:00Z,1.08703,1.08774,1.08643,1.08714,1091.00
2024-02-06T09:00:00Z,1.08714,1.08737,1.08682,1.08705,1833.73
2024-02-06T10:00:00Z,1.08705,1.08759,1.08571,1.08625,2021.87
2024-02-06T11:00:00Z,1.08625,1.08713,1.08524,1.08612,1376.32
2024-02-06T12:00:00Z,1.08612,1.08646,1.08554,1.08588,1718.15
2024-02-06T13:00:00Z,1.08588,1.08652,1.08506,1.08570,561.01
2024-02-06T14:00:00Z,1.08570,1.08663,1.08506,1.08599,993.36
2024-02-06T15:00:00Z,1.08599,1.08651,1.08552,1.08604,977.75
2024-02-06T16:00:00Z,1.08604,1.08631,1.08503,1.08530,1918.13
2024-02-06T17:00:00Z,1.08530,1.08614,1.08504,1.08588,1566.89
2024-02-06T18:00:00Z,1.08588,1.08640,1.08533,1.08585,1549.48
2024-02-06T19:00:00Z,1.08585,1.08609,1.08486,1.08510,2036.64
2024-02-06T20:00:00Z,1.08510,1.08572,1.08446,1.08508,1397.16
2024-02-06T21:00:00Z,1.08508,1.08638,1.08363,1.08493,1098.61
